year2,state,size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,01,a) 1 to 4,31571,34463,81733,78134,8763,26.1,6752,20.1,32722,24406,8316,31.2,41.9,25524,17649,7875,22.6,32.7,7198,9.2,65.4,0,4775,4783,12481
1977,01,b) 5 to 9,11489,13481,91466,89364,1076,8.1,753,5.7,24196,13036,11160,14.6,27.1,19992,9270,10722,10.4,22.4,4204,4.7,44.8,0,518,519,6389
1977,01,c) 10 to 19,6207,7438,105074,102595,467,6.3,332,4.5,24814,12198,12616,11.9,24.2,19855,8686,11169,8.5,19.4,4959,4.8,38.8,0,214,214,5550
1977,01,d) 20 to 49,3615,4677,147999,143593,237,5.1,153,3.3,32076,13641,18435,9.5,22.3,23264,9232,14032,6.4,16.2,8812,6.1,32.4,0,90,90,5438
1977,01,e) 50 to 99,1205,1443,103029,100955,52,3.6,39,2.7,18760,7179,11581,7.1,18.6,14611,5338,9273,5.3,14.5,4149,4.1,29,0,21,21,2849
1977,01,f) 100 to 249,670,872,137420,136051,26,3,28,3.2,22996,7687,15309,5.7,16.9,20257,8716,11541,6.4,14.9,2739,2,29.8,0,12,14,3895
1977,01,g) 250 to 499,233,297,105776,101188,9,3.1,0,0,16598,6231,10367,6.2,16.4,7421,0,7421,0,7.3,9177,9.1,14.6,0,,,
1977,01,h) 500 to 999,105,130,93177,89928,2,1.6,0,0,11038,,,,12.3,4539,0,4539,0,5,6499,7.3,10,1,,,
1977,01,i) 1000+,45,50,91616,92100,1,2,0,0,8315,,,,9,9283,0,9283,0,10.1,-968,-1.1,18,1,,,
1977,01,m. ALL,55140,62851,957290,933908,10633,17.2,8057,13.1,191515,89862,101653,9.6,20.5,144746,58891,85855,6.3,15.5,46769,5,31,0,5630,5641,36602
1977,02,a) 1 to 4,3796,4133,10575,9901,1590,39.9,1256,31.5,5838,,,,59,4490,3459,1031,34.9,45.3,1348,13.7,90.6,1,854,854,
1977,02,b) 5 to 9,1495,1649,11643,11314,219,13.4,173,10.6,4460,2620,1840,23.2,39.4,3801,2143,1658,18.9,33.6,659,5.8,67.2,0,112,112,1404
1977,02,c) 10 to 19,866,960,14174,13670,111,11.7,81,8.6,5049,2904,2145,21.2,36.9,4040,2129,1911,15.6,29.6,1009,7.3,59.2,0,50,50,1268
1977,02,d) 20 to 49,537,647,21390,20183,89,14.4,35,5.6,8113,5109,3004,25.3,40.2,5699,2082,3617,10.3,28.2,2414,12,56.4,0,19,19,1026
1977,02,e) 50 to 99,167,199,14167,14258,12,6,11,5.5,3907,1602,2305,11.2,27.4,4088,1538,2550,10.8,28.7,-181,-1.3,54.8,0,3,3,404
1977,02,f) 100 to 249,92,99,15171,15189,6,6,8,8,4429,1694,2735,11.2,29.2,4464,2153,2311,14.2,29.4,-35,-0.2,58.4,1,1,1,
1977,02,g) 250 to 499,20,21,7875,7405,1,4.9,0,0,2270,,,,30.7,1330,0,1330,0,18,940,12.7,36,1,,,
1977,02,h) 500 to 999,11,11,8590,7822,0,0,0,0,2670,0,2670,0,34.1,1133,0,1133,0,14.5,1537,19.6,29,0,,,
1977,02,i) 1000+,5,5,3570,8384,0,0,0,0,809,0,809,0,9.6,10436,0,10436,0,124.5,-9627,-114.9,19.2,0,,,
1977,02,m. ALL,6989,7724,107155,108126,2028,27,1564,20.8,37545,19259,18286,17.8,34.7,39481,13504,25977,12.5,36.5,-1936,-1.8,69.4,0,1039,1039,6757
